teamNumber,scouterName,matchNumber,autoMobility,autoDock,autoEngage,autoCone,autoCube,teleopPark,teleopDock,teleopEngage,teleopCone,teleopCube,autoHighCone,autoHighCube,autoMidCone,autoMidCube,autoLowCone,autoLowCube,teleopHighCone,teleopHighCube,teleopMidCone,teleopMidCube,teleopLowCone,teleopLowCube,comments,Auto Points,Teleop Points,points,Defense,Did not move,Column1,
1908,Aishani,10,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,2,2,1,0,0,0,1,0,1,1,0,0,3,0,pretty good auto and teleop good docking&engaging,27,26,53,FALSE,FALSE,,
2914,Jonathan,11,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,9,12,FALSE,FALSE,,
5549,Jonathan,12,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,2,2,FALSE,FALSE,,
1895,Jonathan,13,TRUE,TRUE,FALSE,0,0,FALSE,TRUE,FALSE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,can only intake from the human player shelf. Endeffector is very wiggly. Very slow cycle time.,8,10,18,FALSE,FALSE,,
2900,Jonathan,14,FALSE,TRUE,TRUE,0,0,FALSE,TRUE,TRUE,0,2,0,0,0,0,0,0,0,0,0,0,0,2,The robot does not have a intake or scoring mechanism,12,16,28,TRUE,FALSE,,
614,Jonathan,15,TRUE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,2,0,0,0,0,1,0,0,0,0,1,0,1,0,It seems to only be able to pick up cones. ,7,5,12,FALSE,FALSE,,
2537,Jonathan,16,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,9,9,FALSE,FALSE,,
1111,Jonathan,17,TRUE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,3,15,18,FALSE,FALSE,,
8622,Jonathan,18,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,FALSE,TRUE,,
2199,Jonathan,19,FALSE,FALSE,TRUE,1,0,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,0,0,1,0,0,0,0,Can pickup both cubes and cones. The intake broke halfway through the match.,18,17,35,FALSE,FALSE,,
611,Jonathan,20,TRUE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,0,2,0,1,0,0,0,0,0,2,0,0,0,0,,9,10,19,FALSE,FALSE,,
4099,Namish,21,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"robot did move but like not much,  it stayed very close to the starting place and only really moved at end game",0,11,11,FALSE,FALSE,,
1111,Namish,22,TRUE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,2,0,1,0,0,0,0,0,1,0,0,0,1,0,"pretty good, sometimes slow",9,17,26,FALSE,FALSE,,
8514,Namish,23,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"did nothing, but really didnt need to because it was a 3v1",3,2,6,FALSE,FALSE,,
4638,Namish,24,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"technical difficulties, didnt move much but somehow got to the otherside slowly",3,0,3,FALSE,FALSE,,
611,Namish,25,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,played defense and no auto. played some good defense,3,3,6,TRUE,FALSE,,
1389,Namish,26,FALSE,TRUE,FALSE,0,1,FALSE,FALSE,TRUE,2,0,0,1,0,0,0,0,2,0,0,0,0,0,"fast and good at picking up and placing,  played defense when needed and did good. does have trouble with tipped cones",9,22,31,FALSE,FALSE,,
7886,Namish,27,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,2,0,0,0,0,0,0,0,1,0,0,0,1,0,kinda defensive didnt do much or at all,3,7,10,TRUE,FALSE,,
1111,Namish,28,TRUE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,2,0,1,0,0,0,0,0,2,0,0,0,0,0,"relativly good and fast, did have a mistake and dropped ",9,22,31,FALSE,FALSE,,
5549,Namish,29,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,2,0,0,0,0,0,no movement,3,10,13,FALSE,FALSE,,
1731,Namish,30,TRUE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,3,5,1,0,0,0,0,0,4,2,0,1,0,2,"crazy bot, lots of points fast good collection great robo",9,42,51,FALSE,FALSE,,
2537,Shreyas,31,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Focused on defense,  seemed to lose movement around half way through the match.",3,0,3,TRUE,FALSE,,
6326,Kavya,1,FALSE,FALSE,FALSE,2,0,FALSE,FALSE,FALSE,4,2,1,0,0,0,1,0,2,1,0,0,2,1,Intake from humans bad,9,21,30,FALSE,FALSE,,
449,Kavya,2,TRUE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Cone got stuck in robot which blocked intake ,9,15,24,FALSE,FALSE,,
1123,Kavya,3,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Better at cubes than cones, put two cubes same spot in teleop",0,15,39,FALSE,FALSE,FALSE,
5338,Kavya,4,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,2,0,0,0,0,0,0,0,2,0,0,0,0,0,SLAY,3,10,13,FALSE,FALSE,,
836,Kavya,5,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Intake got stuck,0,10,10,FALSE,FALSE,,
1908,Kavya,6,TRUE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,9,15,24,FALSE,FALSE,,
1446,Kavya,7,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,FALSE,TRUE,,
5841,David,11,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost part of actuator,0,2,69,FALSE,FALSE,,
4821,David,12,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seemed to be having outtake issues,3,0,70,FALSE,FALSE,,
611,David,13,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,0,2,0,0,0,0,Swerve drive,0,16,85,FALSE,FALSE,,
2199,David,14,TRUE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,3,2,1,0,0,0,0,0,3,2,0,0,0,0,Swerve,9,37,123,FALSE,FALSE,,
2534,David,15,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,I couldn't see a thing with all these people in the way,3,3,114,FALSE,FALSE,,
1731,Samanvi Thirunagar,17,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,8,3,0,0,0,0,0,0,4,1,1,1,3,1,,0,51,162,FALSE,FALSE,,
5587,Samanvi Thirunagar,18,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Played defense,  picked up no cones or blocks, docked really early.",0,10,162,TRUE,FALSE,,
6326,Samanvi Thirunagar,19,TRUE,FALSE,FALSE,1,1,TRUE,FALSE,FALSE,2,3,0,1,0,0,1,0,0,0,1,2,1,1,,9,13,177,FALSE,FALSE,,
2534,Samanvi Thirunagar,20,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Grabbed three cones only was able to place one.,0,3,177,FALSE,FALSE,,
1908,Samanvi Thirunagar,21,FALSE,FALSE,FALSE,1,0,FALSE,TRUE,TRUE,1,1,1,0,0,0,0,0,0,1,1,0,0,0,,0,18,201,FALSE,FALSE,,
4456,Samanvi Thirunagar,22,FALSE,TRUE,TRUE,1,1,FALSE,TRUE,TRUE,1,0,1,0,0,0,0,1,1,1,0,0,0,0,,18,23,227,FALSE,FALSE,,
8622,Samanvi Thirunagar,23,FALSE,FALSE,FALSE,1,0,TRUE,FALSE,FALSE,0,1,0,0,1,0,0,0,0,1,1,0,1,1,,0,14,212,FALSE,FALSE,,
2900,Samanvi Thirunagar,24,FALSE,TRUE,TRUE,0,0,FALSE,TRUE,TRUE,1,1,0,0,0,0,0,0,0,1,0,0,0,1,,12,19,239,TRUE,FALSE,,
449,Samanvi Thirunagar,25,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,TRUE,1,2,0,0,0,0,0,0,0,1,2,1,1,1,,0,30,236,FALSE,FALSE,,
620,shashu,26,FALSE,FALSE,TRUE,0,0,FALSE,FALSE,TRUE,0,2,0,0,0,0,0,0,0,2,0,0,0,0,Can be bodied very easily by defense. Not too good at picking up cubes. Didnt go for cones,12,18,256,FALSE,FALSE,,
1446,Shashu,27,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,234,FALSE,TRUE,,
2534,shashu,28,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,2,0,0,0,0,"Went for only cubes this round, struggled grabbing them from loading zone.",3,6,247,FALSE,FALSE,,
6239,shashu,29,FALSE,FALSE,FALSE,0,2,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,The robot struggled to move. Could not pick up anything only push. very unstabble,3,10,250,FALSE,FALSE,,
8514,shashu,30,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,The robot was notable to pick up a single item. can only pickup from human players.,0,0,250,FALSE,FALSE,,
1908,Aedan Mills,31,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,TRUE,1,0,1,0,0,0,0,0,1,1,0,0,0,0,,6,8,261,FALSE,FALSE,,
